                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.57902,                0.58349,                0.89727,                0.80627,                0.99324,                 0.8575,                0.77073,                0.47605,                 0.4314,                0.85645,              0.0092476,              0.0092476,              0.0092476
                     78,                0.58445,                0.59692,                0.90092,                0.80472,                0.98863,                0.84592,                0.76237,                0.47167,                0.41557,                0.85582,              0.0092377,              0.0092377,              0.0092377
                     79,                0.56109,                0.58033,                0.89872,                0.80883,                0.98598,                0.85181,                0.77118,                0.46658,                0.42888,                0.85474,              0.0092278,              0.0092278,              0.0092278
                     80,                0.56789,                0.58056,                0.89371,                0.81203,                0.97889,                0.87008,                0.78467,                 0.4764,                0.42395,                0.85842,              0.0092179,              0.0092179,              0.0092179
                     81,                0.57386,                0.57963,                 0.8975,                0.81625,                0.99274,                0.84346,                0.75684,                0.49113,                0.42249,                0.86238,               0.009208,               0.009208,               0.009208
                     82,                0.56148,                0.57812,                0.89307,                0.80782,                0.99105,                0.87598,                0.79033,                0.47444,                0.42793,                0.85619,              0.0091981,              0.0091981,              0.0091981
                     83,                0.56505,                0.56605,                0.89535,                0.81284,                0.98934,                0.85857,                 0.7759,                0.47513,                0.42655,                0.85531,              0.0091882,              0.0091882,              0.0091882
                     84,                0.57602,                0.58899,                0.89931,                0.81115,                0.99324,                0.86292,                0.78436,                0.47327,                0.42152,                0.85401,              0.0091783,              0.0091783,              0.0091783
                     85,                0.57222,                0.57514,                0.89493,                0.81827,                 0.9909,                0.87078,                0.79094,                0.46522,                0.40714,                0.85525,              0.0091684,              0.0091684,              0.0091684
                     86,                0.57036,                0.56195,                0.88999,                0.80932,                0.99294,                0.84783,                0.76937,                0.46486,                0.41328,                0.85466,              0.0091585,              0.0091585,              0.0091585
